月日,時,分,状態
01/05,4,47,満月
01/12,22,17,下弦
01/20,19,1,新月
01/27,17,32,上弦
02/03,19,4,満月
02/11,20,9,下弦
02/19,8,10,新月
02/26,1,34,上弦
03/05,11,10,満月
03/13,15,44,下弦
03/20,19,14,新月
03/27,10,18,上弦
04/04,4,19,満月
04/12,7,45,下弦
04/19,4,26,新月
04/25,20,35,上弦
05/03,21,16,満月
05/11,19,56,下弦
05/18,12,12,新月
05/25,8,57,上弦
06/02,12,54,満月
06/10,4,44,下弦
06/16,19,26,新月
06/23,23,35,上弦
07/02,2,44,満月
07/09,10,59,下弦
07/16,3,15,新月
07/23,16,5,上弦
07/31,14,54,満月
08/07,15,50,下弦
08/14,12,53,新月
08/22,9,43,上弦
08/30,1,49,満月
09/05,20,41,下弦
09/13,1,14,新月
09/21,3,39,上弦
09/28,11,57,満月
10/05,3,5,下弦
10/12,16,33,新月
10/20,21,3,上弦
10/27,21,42,満月
11/03,12,27,下弦
11/11,10,16,新月
11/19,13,1,上弦
11/26,7,32,満月
12/03,1,46,下弦
12/11,5,14,新月
12/19,2,45,上弦
12/25,17,54,満月
