月日,時,分,状態
01/01,1,48,満月
01/07,22,26,下弦
01/15,2,24,新月
01/23,4,23,上弦
01/30,15,4,満月
02/06,6,52,下弦
02/13,19,31,新月
02/22,0,10,上弦
03/01,2,10,満月
03/07,16,52,下弦
03/15,13,19,新月
03/23,16,33,上弦
03/30,11,26,満月
04/06,4,51,下弦
04/14,6,40,新月
04/22,4,50,上弦
04/28,19,37,満月
05/05,18,48,下弦
05/13,22,42,新月
05/21,13,16,上弦
05/28,3,37,満月
06/04,10,19,下弦
06/12,12,50,新月
06/19,18,54,上弦
06/26,12,22,満月
07/04,2,57,下弦
07/12,0,51,新月
07/18,23,14,上弦
07/25,22,36,満月
08/02,20,15,下弦
08/10,10,56,新月
08/17,3,55,上弦
08/24,10,51,満月
09/01,13,33,下弦
09/08,19,44,新月
09/15,10,29,上弦
09/23,1,29,満月
10/01,5,57,下弦
10/08,4,14,新月
10/14,20,9,上弦
10/22,18,27,満月
10/30,20,32,下弦
11/06,13,24,新月
11/13,9,35,上弦
11/21,13,3,満月
11/29,8,48,下弦
12/05,23,52,新月
12/13,2,49,上弦
12/21,7,46,満月
12/28,18,49,下弦
