月日,時,分,状態
01/03,19,3,満月
01/11,0,48,下弦
01/19,4,52,新月
01/26,13,47,上弦
02/02,7,9,満月
02/09,21,43,下弦
02/17,21,1,新月
02/24,21,28,上弦
03/03,20,38,満月
03/11,18,38,下弦
03/19,10,23,新月
03/26,4,18,上弦
04/02,11,12,満月
04/10,13,52,下弦
04/17,20,52,新月
04/24,11,32,上弦
05/02,2,23,満月
05/10,6,10,下弦
05/17,5,1,新月
05/23,20,11,上弦
05/31,17,45,満月
06/08,19,0,下弦
06/15,11,54,新月
06/22,6,55,上弦
06/30,8,57,満月
07/08,4,29,下弦
07/14,18,44,新月
07/21,20,6,上弦
07/29,23,36,満月
08/06,11,21,下弦
08/13,2,37,新月
08/20,11,46,上弦
08/28,13,18,満月
09/04,16,51,下弦
09/11,12,27,新月
09/19,5,44,上弦
09/27,1,49,満月
10/03,22,25,下弦
10/11,0,50,新月
10/19,1,13,上弦
10/26,13,12,満月
11/02,5,28,下弦
11/09,16,2,新月
11/17,20,48,上弦
11/24,23,53,満月
12/01,15,9,下弦
12/09,9,52,新月
12/17,14,43,上弦
12/24,10,28,満月
12/31,3,59,下弦
